title,location,seniority_level,employment_type,industries,company_name,time_posted,num_applicants,inferred_skills,skills_combined
Reference Data Analyst,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Financial Services,Deutsche Bank,2025-05-01,0,"['Sql', 'Data Analysis', 'Data Management', 'Excel', 'Business Intelligence']",Sql Data Analysis Data Management Excel Business Intelligence
Shiprocket - Data Analyst - SQL,"Gurugram, Haryana, India",Entry level,Full-time,"Data Infrastructure and Analytics, Software Development, and Technology, Information and Media",Shiprocket,2025-05-02,0,"['Sql', 'Data Analysis', 'Business Intelligence', 'Data Visualization']",Sql Data Analysis Business Intelligence Data Visualization
Senior Analyst-Data Analysis,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Retail,Tesco,2025-05-02,0,"['Sql', 'Data Analysis', 'Excel', 'Business Intelligence', 'Reporting']",Sql Data Analysis Excel Business Intelligence Reporting
Trainee,Greater Kolkata Area,Internship,Full-time,IT Services and IT Consulting and Business Consulting and Services,Cognizant,2025-05-02,0,"['Learning', 'Data Entry', 'Communication', 'Problem Solving']",Learning Data Entry Communication Problem Solving
Senior Analyst-Data Analysis,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Retail,Tesco,2025-05-01,0,"['Sql', 'Data Analysis', 'Excel', 'Business Intelligence', 'Reporting']",Sql Data Analysis Excel Business Intelligence Reporting
"Senior Analyst, Data Intelligence","Bengaluru East, Karnataka, India",Not Applicable,Full-time,Hospitals and Health Care,Johnson & Johnson,2025-05-01,0,"['Sql', 'Data Intelligence', 'Data Analysis', 'Business Intelligence']",Sql Data Intelligence Data Analysis Business Intelligence
Business Intelligence Analyst,"Gurugram, Haryana, India",Associate,Full-time,Software Development,Concentrix,2025-05-03,0,"['Sql', 'Power Bi', 'Data Analysis', 'Reporting', 'Business Intelligence']",Sql Power Bi Data Analysis Reporting Business Intelligence
Analyst - Dashboards & Automation - USI,"Hyderabad, Telangana, India",Not Applicable,Full-time,Business Consulting and Services,Deloitte,2025-05-03,0,"['Sql', 'Dashboards', 'Automation', 'Power Bi', 'Data Visualization']",Sql Dashboards Automation Power Bi Data Visualization
Data Analyst,"Chandigarh, India",Entry level,Full-time,"Software Development, IT Services and IT Consulting, and Natural Gas Distribution",Midtown Software,2025-05-01,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
"Reporting Analyst | Ahmedabad, India","Ahmedabad, Gujarat, India",Associate,Full-time,IT Services and IT Consulting and Outsourcing and Offshoring Consulting,Confidential,2025-05-04,0,"['Sql', 'Reporting', 'Data Analysis', 'Excel', 'Business Intelligence']",Sql Reporting Data Analysis Excel Business Intelligence
Reference Data Analyst,"Mumbai, Maharashtra, India",Not Applicable,Full-time,Financial Services,Jpmorganchase,2025-05-01,0,"['Sql', 'Data Analysis', 'Data Management', 'Excel', 'Business Intelligence']",Sql Data Analysis Data Management Excel Business Intelligence
Real World Data Analyst I [T500-16951],"Hyderabad, Telangana, India",Mid-Senior level,Full-time,Pharmaceutical Manufacturing,Bristol Myers Squibb,2025-05-01,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
Data Analyst,Greater Delhi Area,Entry level,Full-time,Consumer Services,Win Home Inspection,2025-05-01,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
Data Analyst,India,Mid-Senior level,Full-time,Advertising Services,Itcan Technology And Digital Marketing,2025-05-03,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
Data Analyst - L4,"Bengaluru, Karnataka, India",Entry level,Full-time,IT Services and IT Consulting,Wipro,2025-05-03,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
Data Analytics & BI Specialist,"Bengaluru, Karnataka, India",Not Applicable,Full-time,"Appliances, Electrical, and Electronics Manufacturing",Abb,2025-05-01,0,[],
